
Median&-1.0&-3.0&2.0&-2.0&-1.0&0.0&\\\hline
Min Sum Rank $T$&57.5&55.0&28.0&33.0&53.0&67.5&\\\hline
Sig. $p$ (2-tailed)&0.22&0.18&0.04&0.04&0.15&0.67&\\\hline
Effect $r$&-0.2&-0.22&-0.34&-0.34&-0.23&-0.07&\\\hline
