FT 1379.192261 false -182.709671 45.971451 -7.807131 5.932251 1 35.015469 21.967934 -22.100487
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1384.853882 false -88.732063 47.284111 -7.807131 5.661621 1 139.357224 -1.464191 203.81958
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1390.552979 true -87.519814 -33.792717 -0.05 5.699097 1 448.960907 98.091843 95.05262
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1395.525391 true -113.277695 5.382157 0.05 4.972412 1 226.753204 477.255096 674.779785
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1400.630493 true -90.973343 -5.137065 0.05 5.105103 1 148.586761 -35.67812 97.32724
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1404.509644 false -268.179474 57.006771 -7.807131 3.87915 1 -34.22916 -6.363061 40.415668
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1409.575928 true -118.868889 -14.899837 0.05 5.066284 1 377.961609 -89.727951 -207.336121
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1414.101929 false -264.926666 47.437119 -7.807131 4.526001 2 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1421.386108 false -173.194366 10.636317 -7.807131 7.28418 1 66.669456 43.944611 -205.688843
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1428.647949 false -62.180313 -233.445602 -7.807131 7.261841 1 117.544456 -141.690018 98.711975
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1437.679199 false -215.247833 1.714241 -7.807131 9.03125 1 338.913635 -253.142242 -301.562958
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1442.629272 false -259.794434 -69.927246 -7.807131 4.950073 1 -39.716698 -26.633476 -8.413242
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1447.776733 false -138.275452 28.814478 -7.807131 5.147461 2 13.728022 93.074394 312.524139
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1452.055908 false -93.438591 17.820242 -7.807131 4.279175 2 173.856125 -57.210045 43.746151
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1456.268921 false -167.667206 13.629369 -7.807131 4.213013 1 162.989624 -185.921921 260.616669
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1463.288696 false 99799.0 99999.0 99991.195313 7.019775 1 -2.761892 -2.046038 14.420467
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
FT 1463.288696 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
