
Participant 1 (/Game/Spooky/Maps/UserStudy/PerceptionNeuronOnly)26 Mar 2018 2:29:33 pm
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1069.881836 false -209.001297 8.609328 -7.807131 10.755127 1 -12.065429 49.829582 36.455315
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1076.504517 false -229.310318 -8.082078 -7.807131 6.622681 1 4.764552 -1.831127 -27.717363
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1083.005859 false -172.272339 -16.815922 -7.807131 6.501343 1 163.315216 -43.007553 -138.533325
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1087.828125 true 22.02063 57.529228 0.000394 4.822266 1 395.928741 53.700462 -61.745785
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1092.22644 false -331.40686 1247.155518 -7.807131 4.398315 1 442.351501 25.966938 -99.231583
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1097.928101 true -100.223503 0.000035 0.05 5.70166 1 178.533951 31.644592 27.93107
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1101.282837 false -167.45137 3.761004 -7.807131 3.354736 2 0.0 0.0 0.0
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1103.449951 true -39.436676 5.549781 0.05 2.167114 1 302.870728 5.704956 -32.183773
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1107.937744 true -42.071838 0.000006 0.049999 4.487793 1 606.888062 -21.641129 0.0
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1112.60376 false -223.704346 -8.732118 -7.807131 4.666016 2 -52.603825 -67.248871 30.092501
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1119.747803 false -216.799164 7.497788 -7.807131 7.144043 1 35.112827 -1.958525 -20.256079
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1127.448364 true 59.846558 31.50453 0.05 7.700562 1 300.946014 6.388802 -69.769531
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1127.681152 false 99799.0 99999.0 99991.195313 0.232788 0 0.0 0.0 0.0
Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
1127.681152 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
