LP 1051.704468 false -210.322342 -19.255188 -7.807131 5.357422 1 -42.010124 58.480469 -142.47554
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1056.160889 false -211.679199 -15.863899 -7.807131 4.456421 1 -3.448197 37.229958 97.387871
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1059.246582 false -235.027649 -86.901978 -7.807131 3.085693 1 291.400513 -87.260925 278.071899
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1064.602051 false -212.233719 91.513298 -7.807131 5.355469 3 -12.618886 40.33638 -26.686474
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1072.303955 false -557.923096 245.517944 -7.807131 7.701904 2 237.343842 12.129803 113.947037
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1074.978394 false -182.887238 41.02668 -7.807131 2.674438 1 78.158081 138.702484 47.375908
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1077.79248 false -132.250656 33.428131 -7.807131 2.814087 2 321.728546 100.772003 78.513916
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1080.513672 false -272.195801 -65.414978 -7.807131 2.721191 1 -16.147581 -71.465935 -65.077614
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1085.956543 true -125.491371 27.651157 0.05 5.442871 1 215.929306 -49.51104 203.313904
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1089.866455 false -1040.700317 301.472992 -7.807131 3.909912 1 -72.792038 -9.591129 148.224609
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1092.590332 false -183.676498 76.012268 -7.807131 2.723877 1 1.87332 54.061523 48.555523
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1095.091187 false -131.764648 39.499924 -7.807131 2.500854 2 194.087997 9.775164 -86.729347
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1098.300415 false -159.129654 -15.39282 -7.807131 3.209229 3 143.36731 -124.92292 -198.143051
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1101.133057 false -141.798157 3.505558 -7.807131 2.832642 1 143.051926 7.365265 -71.743202
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1104.599976 false -218.379837 12.210873 -7.807131 3.466919 3 -14.822737 -22.541176 -32.911034
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1105.218018 false 99799.0 99999.0 99991.195313 0.618042 0 0.0 0.0 0.0
# Time Success HitPosX HitPosY HitPosZ ResponseTime GraspCount ThrowVelX ThrowVelY ThrowVelZ  
LP 1105.218018 false 99799.0 99999.0 99991.195313 0.0 0 0.0 0.0 0.0
